,Sp,Brand_name,Price
0,"Điện thoại AI Samsung Galaxy S24 Ultra 12GB/512GB, Camera 200MP Zoom 100x, S Pen- Đen- Hàng Chính Hãng",Samsung,25490000
1,Điện Thoại Samsung Galaxy A56 5G - Hàng Chính Hãng,Samsung,9810000
2,"Điện thoại Samsung Galaxy S25, Điện thoại AI, Tìm kiếm thông minh, Video camera đêm Nightography, Chip Snapdragon - Hàng Chính Hãng",Samsung,19541500
3,Điện Thoại Samsung Galaxy A36 5G - Hàng Chính Hãng,Samsung,7890000
4,Điện Thoại Samsung Galaxy A06 (4GB/128GB) - Hàng Chính Hãng,Samsung,2820000
5,Điện thoại Xiaomi Redmi 14C - Hàng chính hãng,Xiaomi,2210000
6,Điện thoại POCO C75 (8GB/256GB) - Hàng Chính Hãng,POCO,2790000
7,Điện thoại HONOR X5b Plus 4GB/128GB - Hàng chính hãng,Honor,1950000
8,Điện thoại Vivo Y19s (4GB/128GB) - Hàng Chính Hãng,Vivo,3090000
9,Điện thoại Tecno Spark GO 1 (3GB/64GB) - Hàng Chính Hãng,Tecno,1690000
10,"Điện thoại Samsung Galaxy S25+, Điện thoại AI, Tìm kiếm thông minh, Video camera đêm Nightography, Chip Snapdragon - Hàng Chính Hãng",Samsung,23490000
11,"Điện thoại Samsung Galaxy S25 Ultra, Điện thoại AI, Tìm kiếm thông minh, Video camera đêm Nightography, S Pen đa nhiệm - Hàng Chính Hãng",Samsung,28990000
12,"Điện thoại Samsung Galaxy A26 5G (8/128GB), Mặt lưng kính, AI-Circle to Search, Camera HDR chụp đêm sáng rõ - Hàng chính hãng",Samsung,6990000
13,Máy Tính Bảng Galaxy Tab S10 FE Wifi (8GB/128GB) - Hàng Chính Hãng,Samsung,11990000
14,"Điện thoại Samsung Galaxy Z Flip7, Điện thoại AI, Màn hình ngoài vô cực 4.1"", Camera selfie 50MP, Mỏng nhất - Hàng Chính Hãng",Samsung,28990000
15,"Điện thoại Samsung Galaxy A26 5G (8/128GB), Mặt lưng kính, AI-Circle to Search, Camera HDR chụp đêm sáng rõ - Hàng chính hãng",Samsung,6990000
16,Apple iPad Air M3 11-Inch Wi-Fi,Apple,14990000
17,Củ Sạc Samsung Không Kèm Cáp 25W - Hàng Chính Hãng,Samsung,160000
18,Điện Thoại Samsung Galaxy A36 5G - Hàng Chính Hãng,Samsung,7890000
19,Điện Thoại Samsung Galaxy A56 5G - Hàng Chính Hãng,Samsung,9810000
20,Củ Sạc Samsung Không Kèm Cáp 25W - Hàng Chính Hãng,Samsung,160000
21,"Điện thoại Samsung Galaxy Z Fold7, Điện thoại AI, Camera 200MP, Màn hình 8.0"" tối ưu đa nhiệm, Mỏng nhẹ nhất - Hàng Chính Hãng",Samsung,43990000
